split,dialect,n,mean_S_std,mean_S_bt,signed_ΔS,mean_|ΔS|,exact%(ΔS=0),within1%(|ΔS|<=1),consistency
benign,AAVE,2400.0,1.0141666666666667,1.0095833333333333,-0.004583333333333333,0.00625,99.45833333333334,99.91666666666667,0.9984375
benign,ChcE,2400.0,1.0141666666666667,1.0095833333333333,-0.004583333333333333,0.00625,99.41666666666666,99.95833333333334,0.9984375
benign,CollSgE,2400.0,1.0141666666666667,1.0120833333333332,-0.0020833333333333333,0.00375,99.625,100.0,0.9990625
benign,IndE,2400.0,1.0129166666666667,1.01125,-0.0016666666666666668,0.0033333333333333335,99.66666666666667,100.0,0.9991666666666666
benign,JamE,2400.0,1.0129166666666667,1.0095833333333333,-0.0033333333333333335,0.005833333333333334,99.45833333333334,99.95833333333334,0.9985416666666667
toxic,AAVE,2213.0,2.637144148215093,2.5937641211025757,-0.04338002711251695,0.10212381382738364,89.83280614550384,99.95481247175779,0.9744690465431541
toxic,ChcE,2213.0,2.638047898779937,2.5806597379123364,-0.05738816086760054,0.11793944871215545,88.25124265702667,99.95481247175779,0.9705151378219612
toxic,CollSgE,2212.0,2.635623869801085,2.605786618444846,-0.029837251356238697,0.10397830018083183,89.60216998191682,100.0,0.974005424954792
toxic,IndE,2214.0,2.638211382113821,2.631887985546522,-0.006323396567299007,0.07768744354110207,92.27642276422763,99.95483288166214,0.9805781391147245
toxic,JamE,2215.0,2.6383747178329573,2.5995485327313768,-0.03882618510158013,0.109255079006772,89.0744920993228,100.0,0.972686230248307
